OrderID,OrderDateKey,CustomerID,ProductID,StoreID,Quantity,UnitPrice,DiscountPct,GrossSales,NetRevenue,COGS,Profit,PaymentMethod,PromoCode,ShipDays,ShipMode,ReturnedFlag
O0000001,20250112,C00056,P0014,S006,1,980,0.0159,980,980,580,400,UPI,NONE,7,Standard,0
O0000002,20250918,C00809,P0057,S028,1,170,0.0452,170,170,110,60,Net Banking,NONE,5,Standard,0
O0000003,20251113,C02248,P0098,S020,4,150,0,600,600,400,200,UPI,NONE,1,Express,0
O0000004,20250829,C01232,P0021,S004,1,20,0.1462,20,20,10,10,UPI,FESTIVE15,2,Express,0
O0000005,20250911,C00641,P0087,S034,3,29350,0.0853,88050,88050,61650,26400,Debit Card,BANK10,2,Express,0
O0000006,20250114,C00574,P0178,S037,1,15780,0.0801,15780,15780,12250,3530,Credit Card,BULK5,3,Standard,0
O0000007,20250306,C00478,P0125,S026,1,60,0.0765,60,60,50,10,UPI,NONE,6,Standard,0
O0000008,20250113,C02153,P0063,S008,2,3470,0.0429,6940,6940,4240,2700,Debit Card,NONE,3,Standard,0
O0000009,20251222,C00777,P0162,S017,1,190,0.2012,190,190,160,30,UPI,CLEARANCE20,2,Express,0
O0000010,20250927,C00745,P0060,S025,2,580,0.1913,1160,1160,1060,100,Credit Card,FESTIVE15,5,Standard,0
O0000011,20251215,C00160,P0001,S024,1,20100,0.0779,20100,20100,14860,5240,Debit Card,NONE,2,Express,0
O0000012,20251127,C02224,P0043,S027,1,290,0.147,290,290,260,30,Credit Card,BANK10,5,Standard,0
O0000013,20250323,C00974,P0003,S012,1,250,0.0199,250,250,200,50,Cash,NONE,3,Standard,0
O0000014,20250706,C01763,P0090,S036,1,150,0,150,150,100,50,Credit Card,NONE,5,Standard,0
O0000015,20250825,C01787,P0068,S004,2,740,0,1480,1480,1160,320,Credit Card,NONE,4,Standard,0
O0000016,20250928,C00876,P0013,S045,1,1180,0.004,1180,1180,680,500,Net Banking,NONE,3,Standard,0
O0000017,20250901,C01246,P0073,S019,1,100,0,100,100,60,40,UPI,NONE,1,Express,0
O0000018,20250615,C00254,P0035,S038,1,130,0,130,130,100,30,Debit Card,NONE,3,Standard,0
O0000019,20250102,C01670,P0161,S003,1,50,0.0687,50,50,40,10,Debit Card,NEWUSER10,1,Express,0
O0000020,20251209,C01685,P0109,S031,1,470,0.1689,470,470,360,110,UPI,CLEARANCE20,4,Standard,0
O0000021,20250909,C00535,P0051,S045,1,490,0.1899,490,490,340,150,UPI,CLEARANCE20,5,Standard,0
O0000022,20251102,C00489,P0136,S044,1,3500,0.0375,3500,3500,2230,1270,Net Banking,NONE,4,Standard,0
O0000023,20250322,C00995,P0153,S021,1,150,0.141,150,150,140,10,Net Banking,FESTIVE15,3,Standard,0
O0000024,20250208,C01731,P0139,S017,1,1380,0.0435,1380,1380,1120,260,Credit Card,NONE,3,Standard,0
O0000025,20251125,C01299,P0017,S040,4,60,0.1791,240,240,200,40,UPI,FESTIVE15,4,Standard,0
O0000026,20251022,C00155,P0091,S029,1,550,0.021,550,550,370,180,Credit Card,NONE,2,Express,0
O0000027,20251103,C01432,P0014,S043,1,870,0.1304,870,870,580,290,UPI,NEWUSER10,4,Standard,0
