ProductID,ProductName,Brand,Category,Subcategory,ListPrice,StandardCost,LaunchDate,IsActive
P0001,Pulse Audio,Pulse,Electronics,Audio,21800,14860,01-06-2024,1
P0002,Pulse Skin Care,Pulse,Personal Care,Skin Care,530,310,01-06-2024,1
P0003,Aurum Hair Care,Aurum,Personal Care,Hair Care,260,200,03-10-2023,1
P0004,Pulse Storage,Pulse,Office Supplies,Storage,470,290,14-07-2024,1
P0005,Zenith Printing,Zenith,Office Supplies,Printing,600,410,25-09-2023,1
P0006,Prime Beverages,Prime,Grocery,Beverages,130,90,04-02-2023,1
P0007,EcoHome Mobile Plus,EcoHome,Electronics,Mobile,29220,20430,27-09-2024,1
P0008,ByteX Hair Care Plus,ByteX,Personal Care,Hair Care,470,360,14-06-2023,1
P0009,Nova Appliances Max,Nova,Home & Kitchen,Appliances,2500,1460,13-03-2023,1
P0010,Orbit Laptop Lite,Orbit,Electronics,Laptop,16340,10900,11-03-2024,1
P0011,ByteX Storage Plus,ByteX,Office Supplies,Storage,430,280,13-06-2023,0
P0012,QuickKart Beverages,QuickKart,Grocery,Beverages,110,70,23-08-2024,1
P0013,EcoHome Hair Care Pro,EcoHome,Personal Care,Hair Care,1180,680,07-11-2023,1
P0014,ByteX Hair Care Lite,ByteX,Personal Care,Hair Care,1000,580,04-01-2023,0
P0015,Pulse Grooming Plus,Pulse,Personal Care,Grooming,590,360,28-10-2024,1
P0016,Nova Skin Care Max,Nova,Personal Care,Skin Care,180,110,27-12-2023,1
P0017,Orbit Printing Plus,Orbit,Office Supplies,Printing,70,50,04-07-2023,1
P0018,Orbit Mobile,Orbit,Electronics,Mobile,39290,27130,19-04-2024,1
P0019,ByteX Beverages Pro,ByteX,Grocery,Beverages,140,100,07-01-2024,1
P0020,Aurum Storage,Aurum,Office Supplies,Storage,470,300,21-01-2023,1
P0021,Nova Printing Max,Nova,Office Supplies,Printing,20,10,15-06-2024,1
P0022,Horizon Home Care Max,Horizon,Home & Kitchen,Home Care,3890,2330,08-10-2023,1
P0023,Horizon Laptop Lite,Horizon,Electronics,Laptop,30450,20870,04-05-2024,1
P0024,Aurum Staples,Aurum,Grocery,Staples,30,20,18-09-2024,1
P0025,Nova Hair Care,Nova,Personal Care,Hair Care,280,160,03-03-2024,1
P0026,Zenith Skin Care Plus,Zenith,Personal Care,Skin Care,540,350,15-04-2024,1
P0027,Nova Storage,Nova,Office Supplies,Storage,360,240,28-06-2023,1
